Solving multi-robot motion planning problem...
Solving frequency = 68.6955 Hz
Solving frequency = 65.4965 Hz
Solving frequency = 66.0982 Hz
Solving frequency = 69.5362 Hz
Solving frequency = 66.5823 Hz
Solving frequency = 68.5636 Hz
Solving frequency = 70.1213 Hz
Solving frequency = 69.7253 Hz
Solving frequency = 71.4694 Hz
Solving frequency = 71.0985 Hz
Solving frequency = 62.0925 Hz
Solving frequency = 66.8092 Hz
Solving frequency = 65.3851 Hz
Solving frequency = 71.3063 Hz
Solving frequency = 69.847 Hz
Solving frequency = 71.6794 Hz
Solving frequency = 73.2118 Hz
Solving frequency = 67.4036 Hz
Solving frequency = 74.1345 Hz
Solving frequency = 76.6225 Hz
Solving frequency = 75.6029 Hz
Solving frequency = 72.998 Hz
Solving frequency = 76.2428 Hz
Solving frequency = 76.7224 Hz
Solving frequency = 77.2559 Hz
Solving frequency = 80.3471 Hz
Solving frequency = 81.8934 Hz
Solving frequency = 74.9008 Hz
Solving frequency = 76.1731 Hz
Solving frequency = 76.7931 Hz
Solving frequency = 71.8236 Hz
Solving frequency = 70.8818 Hz
Solving frequency = 77.2738 Hz
Solving frequency = 77.6337 Hz
Solving frequency = 79.9744 Hz
Solving frequency = 82.2707 Hz
Solving frequency = 79.3903 Hz
Solving frequency = 76.9586 Hz
Solving frequency = 80.9454 Hz
Solving frequency = 83.0082 Hz
Solving frequency = 80.5348 Hz
Solving frequency = 79.8339 Hz
Solving frequency = 79.7448 Hz
Solving frequency = 79.2896 Hz
Solving frequency = 80.5997 Hz
Solving frequency = 75.6029 Hz
Solving frequency = 78.456 Hz
Solving frequency = 80.6647 Hz
Solving frequency = 81.103 Hz
Solving frequency = 71.4745 Hz
Solving frequency = 68.5965 Hz
Solving frequency = 75.1993 Hz
Solving frequency = 78.9765 Hz
Solving frequency = 79.9488 Hz
Solving frequency = 81.606 Hz
Solving frequency = 79.7194 Hz
Solving frequency = 76.9349 Hz
Solving frequency = 72.685 Hz
Solving frequency = 81.5528 Hz
Solving frequency = 82.6651 Hz
Solving frequency = 80.7689 Hz
Solving frequency = 85.0919 Hz
Solving frequency = 78.2228 Hz
Solving frequency = 78.4929 Hz
Solving frequency = 81.0045 Hz
Solving frequency = 80.289 Hz
Solving frequency = 78.3085 Hz
Solving frequency = 78.1189 Hz
Solving frequency = 77.4954 Hz
Solving frequency = 78.0823 Hz
Solving frequency = 79.321 Hz
Solving frequency = 82.5151 Hz
Solving frequency = 81.5993 Hz
Solving frequency = 83.2362 Hz
Solving frequency = 78.8768 Hz
Solving frequency = 80.2246 Hz
Solving frequency = 78.6411 Hz
Solving frequency = 76.6342 Hz
Solving frequency = 77.1664 Hz
Solving frequency = 83.4098 Hz
Solving frequency = 81.5794 Hz
Solving frequency = 80.8407 Hz
Solving frequency = 79.3777 Hz
Solving frequency = 79.3525 Hz
Solving frequency = 63.3955 Hz
Solving frequency = 74.6993 Hz
Solving frequency = 81.8465 Hz
Solving frequency = 80.0512 Hz
Solving frequency = 82.291 Hz
Solving frequency = 83.0979 Hz
Solving frequency = 81.42 Hz
Solving frequency = 82.5014 Hz
Solving frequency = 76.9764 Hz
Solving frequency = 79.7639 Hz
Solving frequency = 84.0195 Hz
Solving frequency = 79.8722 Hz
Solving frequency = 80.0448 Hz
Solving frequency = 71.0328 Hz
Solving frequency = 77.5615 Hz
Solving frequency = 71.7566 Hz
Solving frequency = 67.9995 Hz
Solving frequency = 75.9013 Hz
Solving frequency = 76.9408 Hz
Solving frequency = 79.6686 Hz
Solving frequency = 81.0701 Hz
Solving frequency = 76.3126 Hz
Solving frequency = 79.3399 Hz
Solving frequency = 77.3335 Hz
Solving frequency = 79.8276 Hz
Solving frequency = 79.3336 Hz
Solving frequency = 83.0634 Hz
Solving frequency = 83.4864 Hz
Solving frequency = 77.0179 Hz
Solving frequency = 82.4946 Hz
Solving frequency = 78.456 Hz
Solving frequency = 71.8597 Hz
Solving frequency = 80.1025 Hz
Solving frequency = 82.3452 Hz
Solving frequency = 80.4117 Hz
Solving frequency = 78.9453 Hz
Solving frequency = 82.5627 Hz
Solving frequency = 73.4484 Hz
Solving frequency = 82.8638 Hz
Solving frequency = 78.3392 Hz
Solving frequency = 81.2018 Hz
Solving frequency = 79.783 Hz
Solving frequency = 82.122 Hz
Solving frequency = 78.376 Hz
Solving frequency = 76.7872 Hz
Solving frequency = 78.8581 Hz
Solving frequency = 78.6535 Hz
Solving frequency = 77.8513 Hz
Solving frequency = 74.129 Hz
Solving frequency = 82.0883 Hz
Solving frequency = 79.9616 Hz
Solving frequency = 80.7168 Hz
Solving frequency = 83.0841 Hz
Solving frequency = 82.8706 Hz
Solving frequency = 85.1716 Hz
Solving frequency = 84.4523 Hz
Solving frequency = 79.1264 Hz
Solving frequency = 77.6277 Hz
Solving frequency = 82.4402 Hz
Solving frequency = 80.1025 Hz
Solving frequency = 80.8016 Hz
Solving frequency = 83.956 Hz
Solving frequency = 75.4432 Hz
Solving frequency = 78.1616 Hz
Solving frequency = 81.0898 Hz
Solving frequency = 81.7327 Hz
Solving frequency = 81.1491 Hz
Solving frequency = 82.0951 Hz
Solving frequency = 73.346 Hz
Solving frequency = 74.9738 Hz
Solving frequency = 78.2473 Hz
Solving frequency = 76.6812 Hz
Solving frequency = 74.94 Hz
Solving frequency = 85.5798 Hz
Solving frequency = 84.5666 Hz
Solving frequency = 85.5139 Hz
Solving frequency = 82.8363 Hz
Solving frequency = 81.0241 Hz
Solving frequency = 82.7267 Hz
Solving frequency = 84.6955 Hz
Solving frequency = 75.1654 Hz
Solving frequency = 83.5282 Hz
Solving frequency = 82.9256 Hz
Solving frequency = 84.4595 Hz
Solving frequency = 81.5528 Hz
Solving frequency = 80.3342 Hz
Solving frequency = 80.36 Hz
Solving frequency = 84.2673 Hz
Solving frequency = 83.8153 Hz
Solving frequency = 81.2282 Hz
Solving frequency = 87.146 Hz
Solving frequency = 82.0075 Hz
Solving frequency = 86.0437 Hz
Solving frequency = 83.2848 Hz
Solving frequency = 85.1499 Hz
Solving frequency = 83.3125 Hz
Solving frequency = 83.647 Hz
Solving frequency = 83.1947 Hz
Solving frequency = 80.8604 Hz
Solving frequency = 83.0151 Hz
Solving frequency = 84.1043 Hz
Solving frequency = 81.3537 Hz
Solving frequency = 83.5771 Hz
Solving frequency = 77.4054 Hz
Solving frequency = 72.648 Hz
Solving frequency = 70.9975 Hz
Solving frequency = 81.367 Hz
Solving frequency = 80.5412 Hz
Solving frequency = 81.9538 Hz
