Solving multi-robot motion planning problem...
Solving frequency = 48.6689 Hz
Solving frequency = 42.8964 Hz
Solving frequency = 48.391 Hz
Solving frequency = 35.8719 Hz
Solving frequency = 44.0917 Hz
Solving frequency = 45.6225 Hz
Solving frequency = 47.4473 Hz
Solving frequency = 46.9947 Hz
Solving frequency = 47.7304 Hz
Solving frequency = 48.3676 Hz
Solving frequency = 31.9142 Hz
Solving frequency = 23.3935 Hz
Solving frequency = 28.8384 Hz
Solving frequency = 50.6278 Hz
Solving frequency = 40.9937 Hz
Solving frequency = 50.7202 Hz
Solving frequency = 53.6884 Hz
Solving frequency = 46.2406 Hz
Solving frequency = 49.0653 Hz
Solving frequency = 51.6049 Hz
Solving frequency = 49.2635 Hz
Solving frequency = 37.2426 Hz
Solving frequency = 48.8854 Hz
Solving frequency = 49.6106 Hz
Solving frequency = 47.4789 Hz
Solving frequency = 53.087 Hz
Solving frequency = 52.3095 Hz
Solving frequency = 32.8202 Hz
Solving frequency = 53.251 Hz
Solving frequency = 48.3489 Hz
Solving frequency = 48.8759 Hz
Solving frequency = 47.9386 Hz
Solving frequency = 33.5593 Hz
Solving frequency = 53.5934 Hz
Solving frequency = 52.9437 Hz
Solving frequency = 51.8807 Hz
Solving frequency = 53.2113 Hz
Solving frequency = 52.5624 Hz
Solving frequency = 54.339 Hz
Solving frequency = 56.0193 Hz
Solving frequency = 51.7036 Hz
Solving frequency = 51.261 Hz
Solving frequency = 54.1008 Hz
Solving frequency = 35.4925 Hz
Solving frequency = 58.3873 Hz
Solving frequency = 34.4531 Hz
Solving frequency = 56.1104 Hz
Solving frequency = 59.4884 Hz
Solving frequency = 53.4931 Hz
Solving frequency = 52.6343 Hz
Solving frequency = 43.0923 Hz
Solving frequency = 59.1646 Hz
Solving frequency = 57.5142 Hz
Solving frequency = 61.9157 Hz
Solving frequency = 54.404 Hz
Solving frequency = 58.5754 Hz
Solving frequency = 54.8216 Hz
Solving frequency = 57.2705 Hz
Solving frequency = 52.9521 Hz
Solving frequency = 58.1734 Hz
Solving frequency = 60.423 Hz
Solving frequency = 59.9988 Hz
Solving frequency = 53.8097 Hz
Solving frequency = 45.3165 Hz
Solving frequency = 51.2794 Hz
Solving frequency = 50.4032 Hz
Solving frequency = 40.3096 Hz
Solving frequency = 38.0546 Hz
Solving frequency = 51.2636 Hz
Solving frequency = 59.3014 Hz
Solving frequency = 59.2979 Hz
Solving frequency = 57.3394 Hz
Solving frequency = 56.9087 Hz
Solving frequency = 58.9588 Hz
Solving frequency = 47.9249 Hz
Solving frequency = 46.1212 Hz
Solving frequency = 56.7344 Hz
Solving frequency = 55.8378 Hz
Solving frequency = 56.654 Hz
Solving frequency = 60.4339 Hz
Solving frequency = 46.3843 Hz
Solving frequency = 35.4384 Hz
Solving frequency = 56.5515 Hz
Solving frequency = 33.5649 Hz
Solving frequency = 54.5345 Hz
Solving frequency = 61.192 Hz
Solving frequency = 40.0256 Hz
Solving frequency = 56.3444 Hz
Solving frequency = 58.2954 Hz
Solving frequency = 58.2445 Hz
Solving frequency = 56.9703 Hz
Solving frequency = 55.1146 Hz
Solving frequency = 52.9409 Hz
Solving frequency = 55.8191 Hz
Solving frequency = 52.3314 Hz
Solving frequency = 55.6235 Hz
Solving frequency = 58.7475 Hz
Solving frequency = 47.7852 Hz
Solving frequency = 55.8347 Hz
Solving frequency = 56.6219 Hz
Solving frequency = 26.6724 Hz
Solving frequency = 25.7221 Hz
Solving frequency = 59.0842 Hz
Solving frequency = 57.9039 Hz
Solving frequency = 57.1102 Hz
Solving frequency = 45.7917 Hz
Solving frequency = 55.9816 Hz
Solving frequency = 55.06 Hz
Solving frequency = 55.5463 Hz
Solving frequency = 60.5987 Hz
Solving frequency = 58.8859 Hz
Solving frequency = 58.2785 Hz
Solving frequency = 56.6669 Hz
Solving frequency = 59.1506 Hz
Solving frequency = 57.9811 Hz
Solving frequency = 56.7215 Hz
Solving frequency = 56.9866 Hz
Solving frequency = 59.8158 Hz
Solving frequency = 56.2715 Hz
Solving frequency = 57.2312 Hz
Solving frequency = 56.6444 Hz
Solving frequency = 59.9018 Hz
Solving frequency = 56.8505 Hz
Solving frequency = 56.1262 Hz
Solving frequency = 57.8102 Hz
Solving frequency = 56.1293 Hz
Solving frequency = 58.2988 Hz
Solving frequency = 50.6175 Hz
Solving frequency = 57.6236 Hz
Solving frequency = 55.3649 Hz
Solving frequency = 56.5291 Hz
Solving frequency = 38.844 Hz
Solving frequency = 59.1191 Hz
Solving frequency = 58.7406 Hz
Solving frequency = 58.9414 Hz
Solving frequency = 42.0027 Hz
Solving frequency = 58.5172 Hz
Solving frequency = 60.4924 Hz
Solving frequency = 57.8369 Hz
Solving frequency = 57.1396 Hz
Solving frequency = 52.5541 Hz
Solving frequency = 55.2486 Hz
Solving frequency = 59.1121 Hz
Solving frequency = 52.6205 Hz
Solving frequency = 35.121 Hz
Solving frequency = 54.4099 Hz
Solving frequency = 54.9904 Hz
Solving frequency = 48.852 Hz
Solving frequency = 57.5838 Hz
Solving frequency = 58.9866 Hz
Solving frequency = 58.9449 Hz
Solving frequency = 41.2831 Hz
Solving frequency = 58.8132 Hz
Solving frequency = 54.8667 Hz
Solving frequency = 58.6786 Hz
Solving frequency = 52.7704 Hz
Solving frequency = 50.4185 Hz
Solving frequency = 56.6669 Hz
Solving frequency = 57.4812 Hz
Solving frequency = 53.7721 Hz
Solving frequency = 57.0776 Hz
Solving frequency = 52.9017 Hz
Solving frequency = 55.6297 Hz
Solving frequency = 60.4193 Hz
Solving frequency = 55.8129 Hz
Solving frequency = 58.5172 Hz
Solving frequency = 59.3507 Hz
Solving frequency = 56.744 Hz
Solving frequency = 45.4339 Hz
Solving frequency = 58.0383 Hz
Solving frequency = 56.9314 Hz
Solving frequency = 59.2277 Hz
Solving frequency = 52.04 Hz
Solving frequency = 43.4197 Hz
Solving frequency = 49.4096 Hz
Solving frequency = 52.2193 Hz
Solving frequency = 47.1409 Hz
Solving frequency = 48.1209 Hz
Solving frequency = 56.0224 Hz
Solving frequency = 53.6913 Hz
Solving frequency = 58.9936 Hz
Solving frequency = 39.8851 Hz
Solving frequency = 34.3997 Hz
Solving frequency = 59.0388 Hz
Solving frequency = 55.5093 Hz
Solving frequency = 54.3331 Hz
Solving frequency = 57.7801 Hz
Solving frequency = 59.499 Hz
Solving frequency = 55.6917 Hz
Solving frequency = 56.4302 Hz
Solving frequency = 38.2717 Hz
Solving frequency = 56.2461 Hz
Solving frequency = 56.7279 Hz
Solving frequency = 22.4286 Hz
Solving frequency = 44.5077 Hz
Solving frequency = 56.8861 Hz
Solving frequency = 52.173 Hz
Solving frequency = 59.0005 Hz
Solving frequency = 54.5703 Hz
Solving frequency = 48.5296 Hz
Solving frequency = 51.3532 Hz
Solving frequency = 59.2171 Hz
Solving frequency = 58.326 Hz
Solving frequency = 51.878 Hz
Solving frequency = 57.7734 Hz
Solving frequency = 57.8235 Hz
Solving frequency = 47.4293 Hz
Solving frequency = 59.4071 Hz
Solving frequency = 59.4071 Hz
Solving frequency = 56.8634 Hz
Solving frequency = 56.443 Hz
Solving frequency = 58.7096 Hz
Solving frequency = 56.2905 Hz
Solving frequency = 55.8191 Hz
Solving frequency = 59.1331 Hz
Solving frequency = 52.5901 Hz
Solving frequency = 55.966 Hz
Solving frequency = 38.3112 Hz
Solving frequency = 50.597 Hz
Solving frequency = 55.4139 Hz
Solving frequency = 54.2682 Hz
Solving frequency = 54.7405 Hz
Solving frequency = 60.8051 Hz
Solving frequency = 55.5031 Hz
Solving frequency = 56.6444 Hz
Solving frequency = 55.7041 Hz
Solving frequency = 60.4741 Hz
Solving frequency = 53.396 Hz
Solving frequency = 43.8443 Hz
Solving frequency = 46.0723 Hz
Solving frequency = 39.7725 Hz
Solving frequency = 50.7202 Hz
Solving frequency = 58.9171 Hz
Solving frequency = 57.7667 Hz
Solving frequency = 34.8845 Hz
Solving frequency = 56.5867 Hz
Solving frequency = 58.0484 Hz
Solving frequency = 59.1751 Hz
Solving frequency = 56.2177 Hz
Solving frequency = 58.7648 Hz
Solving frequency = 57.2246 Hz
Solving frequency = 34.2103 Hz
Solving frequency = 54.0132 Hz
Solving frequency = 54.9813 Hz
Solving frequency = 56.5483 Hz
Solving frequency = 37.407 Hz
Solving frequency = 57.3394 Hz
Solving frequency = 55.8566 Hz
Solving frequency = 57.1363 Hz
Solving frequency = 59.2768 Hz
Solving frequency = 57.6469 Hz
Solving frequency = 54.0336 Hz
Solving frequency = 41.8113 Hz
Solving frequency = 54.5316 Hz
Solving frequency = 52.1186 Hz
Solving frequency = 59.5061 Hz
Solving frequency = 43.67 Hz
Solving frequency = 35.9389 Hz
Solving frequency = 34.5554 Hz
Solving frequency = 50.3854 Hz
Solving frequency = 35.6227 Hz
Solving frequency = 54.1008 Hz
Solving frequency = 60.0925 Hz
Solving frequency = 58.1328 Hz
Solving frequency = 56.9801 Hz
Solving frequency = 59.8552 Hz
Solving frequency = 45.9517 Hz
Solving frequency = 57.9979 Hz
Solving frequency = 52.8011 Hz
Solving frequency = 26.5957 Hz
Solving frequency = 27.7416 Hz
Solving frequency = 57.7901 Hz
Solving frequency = 57.5805 Hz
Solving frequency = 58.6751 Hz
Solving frequency = 57.5971 Hz
Solving frequency = 57.8235 Hz
Solving frequency = 53.674 Hz
Solving frequency = 50.2235 Hz
Solving frequency = 36.543 Hz
Solving frequency = 55.5062 Hz
Solving frequency = 58.4351 Hz
Solving frequency = 56.373 Hz
Solving frequency = 43.2919 Hz
Solving frequency = 56.1451 Hz
Solving frequency = 58.0518 Hz
Solving frequency = 55.5803 Hz
Solving frequency = 57.4416 Hz
Solving frequency = 52.0942 Hz
Solving frequency = 57.0418 Hz
Solving frequency = 59.2347 Hz
Solving frequency = 50.3297 Hz
Solving frequency = 36.503 Hz
Solving frequency = 57.2705 Hz
Solving frequency = 55.6019 Hz
Solving frequency = 53.1745 Hz
Solving frequency = 56.3825 Hz
Solving frequency = 49.8604 Hz
Solving frequency = 55.8503 Hz
Solving frequency = 60.2301 Hz
Solving frequency = 60.006 Hz
Solving frequency = 59.6659 Hz
Solving frequency = 51.1876 Hz
Solving frequency = 51.2085 Hz
Solving frequency = 48.4614 Hz
Solving frequency = 54.1419 Hz
Solving frequency = 24.809 Hz
Solving frequency = 46.1808 Hz
Solving frequency = 58.7855 Hz
Solving frequency = 55.5494 Hz
Solving frequency = 55.0297 Hz
Solving frequency = 37.0055 Hz
Solving frequency = 27.465 Hz
Solving frequency = 50.4719 Hz
Solving frequency = 60.7275 Hz
Solving frequency = 58.9657 Hz
Solving frequency = 38.4143 Hz
Solving frequency = 33.9064 Hz
Solving frequency = 59.805 Hz
Solving frequency = 57.5308 Hz
Solving frequency = 54.3567 Hz
Solving frequency = 57.1004 Hz
Solving frequency = 24.1453 Hz
Solving frequency = 57.0776 Hz
Solving frequency = 58.6648 Hz
Solving frequency = 56.5515 Hz
Solving frequency = 37.0672 Hz
Solving frequency = 55.1755 Hz
Solving frequency = 57.019 Hz
Solving frequency = 44.8229 Hz
Solving frequency = 59.4601 Hz
Solving frequency = 59.7907 Hz
Solving frequency = 57.4977 Hz
Solving frequency = 59.1156 Hz
Solving frequency = 29.8134 Hz
Solving frequency = 57.867 Hz
Solving frequency = 53.9025 Hz
Solving frequency = 57.3756 Hz
Solving frequency = 56.9638 Hz
Solving frequency = 54.8847 Hz
Solving frequency = 37.0837 Hz
Solving frequency = 39.7346 Hz
Solving frequency = 52.8653 Hz
Solving frequency = 54.5792 Hz
Solving frequency = 57.0288 Hz
Solving frequency = 56.8925 Hz
Solving frequency = 58.4795 Hz
Solving frequency = 57.9475 Hz
Solving frequency = 58.9136 Hz
Solving frequency = 59.0179 Hz
Solving frequency = 57.2902 Hz
Solving frequency = 55.4017 Hz
Solving frequency = 58.0046 Hz
Solving frequency = 39.5163 Hz
Solving frequency = 57.5374 Hz
Solving frequency = 57.7301 Hz
Solving frequency = 58.8685 Hz
Solving frequency = 44.2087 Hz
Solving frequency = 57.9374 Hz
Solving frequency = 60.0096 Hz
Solving frequency = 55.2792 Hz
Solving frequency = 39.9409 Hz
Solving frequency = 48.5578 Hz
Solving frequency = 56.1829 Hz
Solving frequency = 61.9157 Hz
Solving frequency = 60.4558 Hz
Solving frequency = 59.9269 Hz
Solving frequency = 27.297 Hz
Solving frequency = 32.2529 Hz
Solving frequency = 58.2309 Hz
Solving frequency = 56.9346 Hz
Solving frequency = 41.2899 Hz
Solving frequency = 33.6089 Hz
Solving frequency = 54.277 Hz
Solving frequency = 45.6496 Hz
Solving frequency = 42.3801 Hz
Solving frequency = 55.3342 Hz
Solving frequency = 17.8094 Hz
Solving frequency = 57.5473 Hz
Solving frequency = 45.469 Hz
Solving frequency = 49.8853 Hz
Solving frequency = 41.731 Hz
Solving frequency = 51.6022 Hz
Solving frequency = 40.1413 Hz
Solving frequency = 43.3708 Hz
Solving frequency = 49.0461 Hz
Solving frequency = 44.7147 Hz
Solving frequency = 57.1167 Hz
Solving frequency = 54.2241 Hz
Solving frequency = 46.0978 Hz
Solving frequency = 35.5758 Hz
Solving frequency = 26.2702 Hz
Solving frequency = 45.8253 Hz
Solving frequency = 39.6244 Hz
Solving frequency = 34.9491 Hz
Solving frequency = 33.3868 Hz
Solving frequency = 31.2256 Hz
Solving frequency = 33.6519 Hz
Solving frequency = 39.3515 Hz
Solving frequency = 46.5246 Hz
Solving frequency = 53.6423 Hz
Solving frequency = 54.3124 Hz
Solving frequency = 54.5345 Hz
Solving frequency = 46.5484 Hz
Solving frequency = 44.5653 Hz
Solving frequency = 33.9893 Hz
Solving frequency = 35.5391 Hz
Solving frequency = 43.8904 Hz
Solving frequency = 26.6496 Hz
Solving frequency = 32.2706 Hz
Solving frequency = 31.0829 Hz
Solving frequency = 38.7717 Hz
Solving frequency = 54.4484 Hz
Solving frequency = 51.9724 Hz
Solving frequency = 31.7028 Hz
Solving frequency = 25.1915 Hz
Collision constraint violation: Vehicles 0 and 1 will be 0.0884778m apart @ t = 3.01s
Collision constraint violation: Vehicles 0 and 4 will be 0.119668m apart @ t = 4.77s
Collision constraint violation: Vehicles 0 and 6 will be 0.109785m apart @ t = 21.88s
Collision constraint violation: Vehicles 0 and 12 will be 0.105918m apart @ t = 20.06s
Collision constraint violation: Vehicles 0 and 18 will be 0.105936m apart @ t = 18.4s
Collision constraint violation: Vehicles 0 and 36 will be 0.106496m apart @ t = 11.47s
Collision constraint violation: Vehicles 1 and 3 will be 0.0631142m apart @ t = 4.52s
Collision constraint violation: Vehicles 1 and 5 will be 0.127358m apart @ t = 4.55s
Collision constraint violation: Vehicles 1 and 7 will be 0.121436m apart @ t = 21.56s
Collision constraint violation: Vehicles 1 and 13 will be 0.123075m apart @ t = 19.12s
Collision constraint violation: Vehicles 1 and 19 will be 0.0614356m apart @ t = 17.41s
Collision constraint violation: Vehicles 1 and 25 will be 0.118047m apart @ t = 9.33s
Collision constraint violation: Vehicles 2 and 3 will be 0.124541m apart @ t = 2.63s
